PLAYER_ID,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
203081,300,300,10873.0,2685,5970,1118,2963,2046,2254,190,1145,2223,287,102,883,510,8534
203083,238,97,4445.0,840,1520,0,17,316,582,697,1444,359,241,192,386,570,1996
203084,338,338,11417.0,1739,3777,597,1548,1265,1526,346,1399,736,229,58,453,444,5340
203094,172,3,1999.0,315,722,64,209,84,118,81,324,67,48,46,99,230,778
203095,191,159,5335.0,952,2213,510,1299,314,408,58,457,495,189,61,273,418,2728
203109,210,165,5749.0,687,1693,434,1194,235,302,131,958,439,227,87,186,468,2043
203110,291,289,8896.0,866,1849,173,605,333,461,249,1807,2098,394,265,798,866,2238
203114,306,289,9457.0,2117,4596,690,1789,987,1114,217,1528,1487,306,46,750,702,5911
203200,166,69,3469.0,415,1070,269,768,60,78,39,261,210,95,71,114,290,1159
203457,123,60,2499.0,195,355,2,10,87,124,210,430,89,132,192,111,307,479
203458,193,96,2739.0,452,762,22,73,198,311,232,509,155,57,164,169,382,1124
203468,246,246,8539.0,2064,4556,744,1901,523,711,191,860,1282,254,103,502,482,5395
203469,197,109,4161.0,710,1297,28,131,380,523,464,797,308,116,93,221,514,1828
203471,256,169,7617.0,1226,2858,317,937,736,863,119,685,1241,226,39,561,612,3505
203473,159,17,2127.0,364,657,44,130,161,225,201,539,111,51,86,133,360,933
203482,248,193,6700.0,1080,2237,385,1091,557,671,310,1265,769,249,140,478,746,3102
203484,371,269,10409.0,1433,3230,657,1694,553,651,189,839,676,387,114,376,663,4076
203486,287,249,7398.0,1097,1669,0,9,578,966,779,1705,918,196,196,439,844,2772
203488,204,18,3128.0,494,1099,300,761,161,197,114,553,150,56,85,81,308,1449
203490,127,29,2755.0,404,900,164,441,129,153,148,537,212,111,37,91,172,1101
203493,284,219,8255.0,913,2197,606,1592,189,225,114,824,441,196,46,194,558,2621
203496,260,154,6902.0,724,1734,445,1170,196,240,210,1204,358,345,299,246,661,2089
203497,356,355,11365.0,1975,2902,0,11,1341,2078,1251,3448,510,258,744,619,995,5291
203500,319,318,9087.0,1320,2242,1,10,478,956,1374,1728,734,323,287,501,690,3119
203501,300,200,8972.0,1622,3898,842,2233,695,857,105,924,606,201,40,308,536,4781
203506,83,36,2359.0,430,1052,163,487,177,236,31,280,325,108,27,186,193,1200
203507,326,326,10516.0,3428,6108,326,1130,2347,3434,667,3278,1882,349,391,1170,1004,9529
203552,246,192,7118.0,1186,2479,536,1260,284,320,65,571,714,186,43,334,488,3192
203648,164,11,1365.0,184,363,9,62,72,134,121,173,98,48,27,93,184,449
203897,325,324,11386.0,2876,6031,893,2301,1516,1810,181,1344,1449,304,122,989,688,8161
